date,tsa,tot_confirmed_covid_patients_in_hosp,tot_suspected_covid_patients_in_hosp,tot_confirmed_covid_admits_last_24hrs,tot_suspected_covid_admits_last_24hrs,adult_suspected_covid_admits_in_the_last_24hr,pediatric_suspected_covid_admits_in_the_last_24hr,tot_lab_conf_covid_icu,tot_susp_covid_icu,hosp_onset_covid,ed_overflow,prev_day_covid_fatalities,Reporting Rate,Reported Date,Reported Time,Time Zone,Notes
2020-07-22,A,65,8,NA,20,NA,NA,NA,NA,0,0,NA,0.845,2020-07-23,12:28:00 PM,PDT,NA
2020-07-22,B,142,62,NA,26,NA,NA,NA,NA,0,0,NA,0.845,2020-07-23,12:28:00 PM,PDT,NA
2020-07-22,C,52,16,NA,9,NA,NA,NA,NA,1,1,NA,0.845,2020-07-23,12:28:00 PM,PDT,NA
2020-07-22,D,60,35,NA,27,NA,NA,NA,NA,0,2,NA,0.845,2020-07-23,12:28:00 PM,PDT,NA
2020-07-22,E,1810,667,NA,213,NA,NA,NA,NA,6,39,NA,0.845,2020-07-23,12:28:00 PM,PDT,NA
2020-07-22,F,82,76,NA,12,NA,NA,NA,NA,0,0,NA,0.845,2020-07-23,12:28:00 PM,PDT,NA
2020-07-22,G,271,128,NA,81,NA,NA,NA,NA,0,0,NA,0.845,2020-07-23,12:28:00 PM,PDT,NA
2020-07-22,H,104,0,NA,0,NA,NA,NA,NA,1,0,NA,0.845,2020-07-23,12:28:00 PM,PDT,NA
2020-07-22,I,183,0,NA,11,NA,NA,NA,NA,0,0,NA,0.845,2020-07-23,12:28:00 PM,PDT,NA
2020-07-22,J,47,0,NA,0,NA,NA,NA,NA,0,0,NA,0.845,2020-07-23,12:28:00 PM,PDT,NA
2020-07-22,K,37,0,NA,0,NA,NA,NA,NA,0,0,NA,0.845,2020-07-23,12:28:00 PM,PDT,NA
2020-07-22,L,142,3,NA,14,NA,NA,NA,NA,0,0,NA,0.845,2020-07-23,12:28:00 PM,PDT,NA
2020-07-22,M,79,0,NA,6,NA,NA,NA,NA,0,0,NA,0.845,2020-07-23,12:28:00 PM,PDT,NA
2020-07-22,N,64,0,NA,10,NA,NA,NA,NA,0,0,NA,0.845,2020-07-23,12:28:00 PM,PDT,NA
2020-07-22,O,160,0,NA,13,NA,NA,NA,NA,0,2,NA,0.845,2020-07-23,12:28:00 PM,PDT,NA
2020-07-22,P,619,98,NA,67,NA,NA,NA,NA,12,39,NA,0.845,2020-07-23,12:28:00 PM,PDT,NA
2020-07-22,Q,2369,0,NA,0,NA,NA,NA,NA,4,16,NA,0.845,2020-07-23,12:28:00 PM,PDT,NA
2020-07-22,R,430,0,NA,0,NA,NA,NA,NA,1,5,NA,0.845,2020-07-23,12:28:00 PM,PDT,NA
2020-07-22,S,178,21,NA,14,NA,NA,NA,NA,9,0,NA,0.845,2020-07-23,12:28:00 PM,PDT,NA
2020-07-22,T,167,0,NA,0,NA,NA,NA,NA,0,4,NA,0.845,2020-07-23,12:28:00 PM,PDT,NA
2020-07-22,U,528,0,NA,52,NA,NA,NA,NA,1,17,NA,0.845,2020-07-23,12:28:00 PM,PDT,NA
2020-07-22,V,1269,2,NA,73,NA,NA,NA,NA,29,103,NA,0.845,2020-07-23,12:28:00 PM,PDT,NA
2020-07-22,Total,8858,1116,NA,648,NA,NA,NA,NA,64,228,NA,0.845,2020-07-23,12:28:00 PM,PDT,NA
2020-07-23,A,82,7,NA,13,NA,NA,NA,NA,1,0,NA,0.88,2020-07-24,1:51:00 PM,PDT,NA
2020-07-23,B,203,6,NA,20,NA,NA,NA,NA,1,0,NA,0.88,2020-07-24,1:51:00 PM,PDT,NA
2020-07-23,C,46,6,NA,5,NA,NA,NA,NA,1,0,NA,0.88,2020-07-24,1:51:00 PM,PDT,NA
2020-07-23,D,63,26,NA,19,NA,NA,NA,NA,0,1,NA,0.88,2020-07-24,1:51:00 PM,PDT,NA
2020-07-23,E,1925,235,NA,440,NA,NA,NA,NA,11,29,NA,0.88,2020-07-24,1:51:00 PM,PDT,NA
2020-07-23,F,122,88,NA,11,NA,NA,NA,NA,16,1,NA,0.88,2020-07-24,1:51:00 PM,PDT,NA
2020-07-23,G,244,0,NA,56,NA,NA,NA,NA,0,3,NA,0.88,2020-07-24,1:51:00 PM,PDT,NA
2020-07-23,H,101,2,NA,3,NA,NA,NA,NA,0,0,NA,0.88,2020-07-24,1:51:00 PM,PDT,NA
2020-07-23,I,317,0,NA,35,NA,NA,NA,NA,0,10,NA,0.88,2020-07-24,1:51:00 PM,PDT,NA
2020-07-23,J,116,0,NA,15,NA,NA,NA,NA,3,0,NA,0.88,2020-07-24,1:51:00 PM,PDT,NA
2020-07-23,K,40,0,NA,2,NA,NA,NA,NA,4,0,NA,0.88,2020-07-24,1:51:00 PM,PDT,NA
2020-07-23,L,83,0,NA,22,NA,NA,NA,NA,0,0,NA,0.88,2020-07-24,1:51:00 PM,PDT,NA
2020-07-23,M,82,0,NA,4,NA,NA,NA,NA,0,0,NA,0.88,2020-07-24,1:51:00 PM,PDT,NA
2020-07-23,N,60,0,NA,9,NA,NA,NA,NA,0,0,NA,0.88,2020-07-24,1:51:00 PM,PDT,NA
2020-07-23,O,302,0,NA,15,NA,NA,NA,NA,0,3,NA,0.88,2020-07-24,1:51:00 PM,PDT,NA
2020-07-23,P,908,25,NA,140,NA,NA,NA,NA,13,31,NA,0.88,2020-07-24,1:51:00 PM,PDT,NA
2020-07-23,Q,2531,77,NA,74,NA,NA,NA,NA,0,4,NA,0.88,2020-07-24,1:51:00 PM,PDT,NA
2020-07-23,R,415,0,NA,0,NA,NA,NA,NA,0,0,NA,0.88,2020-07-24,1:51:00 PM,PDT,NA
2020-07-23,S,184,4,NA,30,NA,NA,NA,NA,13,2,NA,0.88,2020-07-24,1:51:00 PM,PDT,NA
2020-07-23,T,180,0,NA,0,NA,NA,NA,NA,98,0,NA,0.88,2020-07-24,1:51:00 PM,PDT,NA
2020-07-23,U,448,0,NA,62,NA,NA,NA,NA,5,34,NA,0.88,2020-07-24,1:51:00 PM,PDT,NA
2020-07-23,V,1584,0,NA,113,NA,NA,NA,NA,29,164,NA,0.88,2020-07-24,1:51:00 PM,PDT,NA
2020-07-23,Total,10036,476,NA,1088,NA,NA,NA,NA,195,282,NA,0.88,2020-07-24,1:51:00 PM,PDT,NA
2020-07-24,A,75,7,NA,8,NA,NA,NA,NA,1,0,NA,0.89,2020-07-25,1:36:00 PM,PDT,NA
2020-07-24,B,190,5,NA,26,NA,NA,NA,NA,0,0,NA,0.89,2020-07-25,1:36:00 PM,PDT,NA
