date,types,rate,number,year,type,group
2020-01-13,spend_all_inchigh,0,0%,"Jan 13, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-01-14,spend_all_inchigh,0,0%,"Jan 14, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-01-15,spend_all_inchigh,0,0%,"Jan 15, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-01-16,spend_all_inchigh,1,1%,"Jan 16, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-01-17,spend_all_inchigh,1,1%,"Jan 17, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-01-18,spend_all_inchigh,1,1%,"Jan 18, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-01-19,spend_all_inchigh,1,1%,"Jan 19, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-01-20,spend_all_inchigh,1,1%,"Jan 20, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-01-21,spend_all_inchigh,1,1%,"Jan 21, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-01-22,spend_all_inchigh,1,1%,"Jan 22, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-01-23,spend_all_inchigh,0,0%,"Jan 23, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-01-24,spend_all_inchigh,0,0%,"Jan 24, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-01-25,spend_all_inchigh,0,0%,"Jan 25, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-01-26,spend_all_inchigh,-0,0%,"Jan 26, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-01-27,spend_all_inchigh,-1,-1%,"Jan 27, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-01-28,spend_all_inchigh,-1,-1%,"Jan 28, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-01-29,spend_all_inchigh,-1,-1%,"Jan 29, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-01-30,spend_all_inchigh,-0,0%,"Jan 30, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-01-31,spend_all_inchigh,-0,0%,"Jan 31, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-02-01,spend_all_inchigh,0,0%,"Feb 01, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-02-02,spend_all_inchigh,-1,-1%,"Feb 02, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-02-03,spend_all_inchigh,0,0%,"Feb 03, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-02-04,spend_all_inchigh,1,1%,"Feb 04, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-02-05,spend_all_inchigh,0,0%,"Feb 05, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-02-06,spend_all_inchigh,-0,0%,"Feb 06, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-02-07,spend_all_inchigh,1,1%,"Feb 07, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-02-08,spend_all_inchigh,2,2%,"Feb 08, 2020",High Income ZIP Codes,Consumer ZIP Code
2020-02-09,spend_all_inchigh,3,3%,"Feb 09, 2020",High Income ZIP Codes,Consumer ZIP Code
